isManSeparate,subjectSeparate,rating2,rating2_Person
0,14,3.462783172,9
0,14,4.67961165,4
0,14,2.957928803,8
0,14,5.372168285,10
0,14,5.637540453,6
0,14,5.928802589,3
0,14,1.954692557,7
0,14,2.103559871,1
0,15,5.014322917,5
0,15,2.004505208,2
0,15,5.990078125,9
0,15,5.990078125,4
0,15,2.985208333,8
0,15,4.003515625,10
0,15,6.019635417,6
0,15,5.006927083,3
0,15,1.992890625,7
0,15,6.020390625,1
0,15,3.027942708,5
0,15,3.972760417,2
0,15,3.00609375,9
0,15,6.049661458,4
0,15,5.009921875,8
0,15,6.000364583,10
0,15,6.904114583,6
0,15,6.904114583,3
0,15,3.008177083,7
0,15,6.991692708,1
0,16,4.506666667,5
0,16,4.473333333,2
0,16,5.333333333,9
0,16,4.42,4
0,16,6.1,8
0,16,5.48,10
0,16,5.453333333,6
0,16,5.453333333,3
0,16,5.453333333,7
0,16,4.993333333,1
0,16,5.013333333,5
0,16,4.706666667,2
0,16,5.54,9
0,16,4.46,4
0,16,5.686666667,8
0,16,5.96,10
0,16,5.18,6
0,16,5.466666667,3
0,16,5.533333333,7
0,16,5.886666667,1
0,17,3.05,5
0,17,2.405555556,2
0,17,4.55,9
0,17,5.177777778,4
0,17,5.011111111,8
0,17,5.566666667,10
0,17,4.805555556,6
0,17,3.861111111,3
0,17,3.388888889,7
0,17,4.2,1
0,17,4.504424779,5
0,17,5.241150442,2
0,17,5.705752212,9
0,17,4.517699115,4
0,17,4.889380531,8
0,17,3.960176991,10
0,17,4.530973451,6
0,17,2.865044248,3
0,17,3.030973451,7
0,17,3.42920354,1
1,18,2.994663821,5
1,18,4.326574173,2
1,18,4.966915688,9
1,18,3.980789755,4
1,18,5.44076841,8
1,18,5.63927428,10
1,18,5.22945571,6
1,18,5.050160085,3
1,18,3.353255069,7
1,18,3.353255069,1
1,18,5.472785486,5
1,18,5.696905016,2
1,18,1.803628602,9
1,18,4.006403415,4
1,18,6.132337247,8
1,18,4.947705443,10
1,18,6.580576307,6
1,18,5.498399146,3
1,18,4.864461046,7
1,18,3.679829242,1
0,19,3.988270529,5
0,19,5.039819562,2
0,19,4.040964276,9
0,19,4.040964276,4
0,19,4.040964276,8
0,19,4.040964276,10
0,19,4.040964276,6
0,19,4.940805491,3
0,19,5.081431055,7
0,19,4.011343511,1
0,19,2.950252116,5
0,19,5.727068274,2
0,19,5.835218433,9
0,19,5.835218433,4
0,19,5.835218433,8
0,19,3.976652783,10
0,19,4.917618527,6
0,19,4.917618527,3
0,19,4.078540679,7
0,19,4.078540679,1
1,20,4.01111145,5
1,20,4.01111145,2
1,20,4.01111145,9
1,20,4.01111145,4
1,20,4.01111145,8
1,20,3.377778117,10
1,20,3.96111145,6
1,20,3.96111145,3
1,20,3.96111145,7
1,20,4.85,1
1,20,4.127778117,5
