subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanSamples,responseOtherInd,responseOtherSad,responseSad
3,28,39,34,41,6,38,38,8,12,43,38,40,30.41666667,19,1,NaN
3,27,1,2,31,25,16,27,24,7,9,29,10,17.33333333,50,0,NaN
3,28,6,31,49,24,17,18,27,47,45,13,44,29.08333333,49,0,NaN
3,3,14,30,18,30,27,3,7,11,25,23,39,19.16666667,18,0,NaN
3,37,12,3,11,37,33,5,27,10,42,7,22,20.5,48,1,NaN
3,14,1,41,25,6,45,17,26,49,35,36,3,24.83333333,1,1,NaN
3,26,18,30,24,10,42,1,1,18,48,49,37,25.33333333,6,1,NaN
3,16,7,41,31,49,30,50,1,24,22,1,33,25.41666667,22,1,NaN
3,35,46,33,33,23,18,45,26,1,19,37,27,28.58333333,2,1,NaN
3,16,43,23,10,1,43,41,17,3,37,42,41,26.41666667,20,1,NaN
3,24,50,49,20,26,35,24,27,44,42,22,41,33.66666667,50,1,NaN
3,50,44,45,17,12,36,10,33,44,41,36,44,34.33333333,13,0,NaN
3,17,36,23,43,17,9,3,24,43,30,37,44,27.16666667,45,0,NaN
3,35,43,18,33,8,5,3,6,4,32,22,17,18.83333333,12,1,NaN
3,23,19,25,9,39,47,46,38,20,9,35,47,29.75,10,1,NaN
3,42,47,8,8,31,29,20,11,25,22,5,15,21.91666667,21,0,NaN
3,18,35,4,1,19,30,43,47,15,43,13,40,25.66666667,16,1,NaN
3,23,12,17,10,45,13,13,43,39,8,13,11,20.58333333,19,0,NaN
3,21,8,29,38,14,3,12,20,35,21,46,29,23,38,0,NaN
3,39,6,11,14,36,46,49,46,25,9,34,30,28.75,47,1,NaN
3,35,10,9,3,43,35,6,28,32,22,19,49,24.25,35,0,NaN
3,16,5,18,18,28,33,6,25,50,32,14,24,22.41666667,2,0,NaN
3,50,27,21,2,42,50,31,21,5,20,34,29,27.66666667,40,1,NaN
3,8,42,15,2,39,12,30,47,17,50,6,42,25.83333333,NaN,NaN,0
3,47,10,27,43,42,47,25,44,36,25,48,27,35.08333333,NaN,NaN,0
3,9,37,42,4,2,28,27,7,18,42,46,34,24.66666667,NaN,NaN,1
3,29,6,29,27,43,24,44,17,22,17,4,2,22,NaN,NaN,1
3,16,34,23,27,27,39,13,3,37,33,2,23,23.08333333,NaN,NaN,1
3,43,9,36,49,12,39,21,4,34,1,45,9,25.16666667,NaN,NaN,1
3,4,41,24,8,9,4,26,7,15,26,3,24,15.91666667,NaN,NaN,0
3,42,14,9,47,49,23,24,44,33,9,5,17,26.33333333,NaN,NaN,1
3,22,45,22,24,8,27,7,34,29,34,47,49,29,NaN,NaN,0
3,35,17,28,24,24,12,38,48,14,18,49,28,27.91666667,NaN,NaN,1
4,43,27,3,21,35,37,48,46,3,29,24,5,26.75,34,0,NaN
4,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
4,38,21,4,43,38,14,4,30,25,30,24,24,24.58333333,5,0,NaN
4,50,27,21,2,42,50,31,21,5,20,34,29,27.66666667,40,1,NaN
4,14,4,21,28,22,5,18,37,36,33,48,39,25.41666667,33,0,NaN
4,50,44,45,17,12,36,10,33,44,41,36,44,34.33333333,13,0,NaN
4,29,38,35,32,42,38,47,28,40,9,50,35,35.25,15,1,NaN
4,42,47,8,8,31,29,20,11,25,22,5,15,21.91666667,21,0,NaN
4,18,46,43,20,46,16,18,2,20,35,36,8,25.66666667,46,0,NaN
4,27,1,2,31,25,16,27,24,7,9,29,10,17.33333333,50,0,NaN
4,46,40,30,11,43,33,28,36,27,22,22,25,30.25,7,1,NaN
4,28,32,26,42,12,4,5,13,31,42,16,4,21.25,10,0,NaN
4,11,39,50,14,10,30,3,50,3,7,33,12,21.83333333,31,0,NaN
4,19,12,3,44,48,17,33,37,49,46,19,18,28.75,41,1,NaN
4,5,11,21,40,8,18,23,15,24,29,29,26,20.75,7,1,NaN
