subject,evidence,response,responseAI,confidence,collaboration,condition,order,perceivedInfluenceA,perceivedInfluenceB,perceivedInfluenceN
1,52,58.57471075,52,0.482063732,NaN,0,1,5.031048547,5.031048547,5.964199497
1,68,66.44354285,68,0.497801307,NaN,0,1,5.031048547,5.031048547,5.964199497
1,96,33.85731825,97,0.498727144,NaN,0,1,5.031048547,5.031048547,5.964199497
1,60,73.10890765,59,0.663509719,NaN,0,1,5.031048547,5.031048547,5.964199497
1,86,68.48018065,85,0.666286912,NaN,0,1,5.031048547,5.031048547,5.964199497
1,54,49.3172631,54,0.669064168,NaN,0,1,5.031048547,5.031048547,5.964199497
1,48,49.87271445,49,0.496875598,NaN,0,1,5.031048547,5.031048547,5.964199497
1,40,30.52463585,40,0.496875598,NaN,0,1,5.031048547,5.031048547,5.964199497
1,52,49.68755975,53,0.655178012,-0.098823345,1,1,5.031048547,5.031048547,5.964199497
1,30,55.98262795,29,0.33301867,0.117801012,1,1,5.031048547,5.031048547,5.964199497
1,42,33.20930235,43,0.332093023,-0.211764263,1,1,5.031048547,5.031048547,5.964199497
1,96,33.94988925,95,0.670915651,-0.134001716,1,1,5.031048547,5.031048547,5.964199497
1,22,60.05590365,23,0.497801307,0.212226972,1,1,5.031048547,5.031048547,5.964199497
1,70,36.0791044,70,0.334870216,-0.117338304,1,1,5.031048547,5.031048547,5.964199497
1,48,37.5602973,49,0.497801307,-0.104377858,1,1,5.031048547,5.031048547,5.964199497
1,54,36.81970405,53,0.338573183,-0.183991952,1,1,5.031048547,5.031048547,5.964199497
1,16,29.5063169,15,0.678321647,-0.319150541,1,1,5.031048547,5.031048547,5.964199497
1,72,33.3944443,71,0.500578564,-0.459863898,1,1,5.031048547,5.031048547,5.964199497
1,78,32.5612737,77,0.50335582,-0.198803817,1,1,5.031048547,5.031048547,5.964199497
1,62,35.8939561,61,0.501504337,-0.213615683,1,1,5.031048547,5.031048547,5.964199497
1,6,21.91520415,6,0.657029496,-0.574656363,1,1,5.031048547,5.031048547,5.964199497
1,50,25.24788655,49,0.497801307,-0.55984437,1,1,5.031048547,5.031048547,5.964199497
1,68,72.73861105,69,0.493172631,0.41589101,1,1,5.031048547,5.031048547,5.964199497
1,50,71.90544045,50,0.492246858,0.358494842,1,1,5.031048547,5.031048547,5.964199497
1,40,49.87271445,40,0.498727144,0.086325735,1,1,5.031048547,5.031048547,5.964199497
1,44,49.87271445,44,0.495024114,0.015968993,1,1,5.031048547,5.031048547,5.964199497
1,66,52.46479085,67,0.495949888,0.088177155,1,1,5.031048547,5.031048547,5.964199497
1,60,50.891027,60,0.657955205,0.049295817,1,1,5.031048547,5.031048547,5.964199497
1,58,52.0945006,59,0.499652791,0.064107937,1,1,5.031048547,5.031048547,5.964199497
1,86,76.4415901,85,0.669064168,0.338128336,1,1,5.031048547,5.031048547,5.964199497
1,32,36.17168175,32,0.33301867,-0.209912716,1,1,5.031048547,5.031048547,5.964199497
1,34,50.0578564,34,0.663509719,0.012266027,1,1,5.031048547,5.031048547,5.964199497
1,64,50.4281594,65,0.497801307,-0.03031815,1,1,5.031048547,5.031048547,5.964199497
1,38,44.0405202,39,0.329315767,-0.03031815,1,1,5.031048547,5.031048547,5.964199497
1,46,45.1514101,45,0.660732462,-0.026615183,1,1,5.031048547,5.031048547,5.964199497
1,56,48.85438915,55,0.489469601,-0.021060797,1,1,5.031048547,5.031048547,5.964199497
1,36,64.5920533,36,0.319132514,0.0252266,1,1,5.031048547,5.031048547,5.964199497
1,28,43.0221949,28,0.430221949,-0.139556102,1,1,5.031048547,5.031048547,5.964199497
1,36,50.33558205,77,0.50335582,0.006711641,2,1,5.031048547,5.031048547,5.964199497
1,6,25.9884862,32,0.494098341,-0.280269331,2,1,5.031048547,5.031048547,5.964199497
1,68,57.1860952,96,0.665361202,0.121503979,2,1,5.031048547,5.031048547,5.964199497
1,62,73.10890765,91,0.379306003,0.1011376,2,1,5.031048547,5.031048547,5.964199497
1,42,51.81677495,72,0.664435428,0.080771349,2,1,5.031048547,5.031048547,5.964199497
1,32,25.24788655,68,0.662583945,-0.370992451,2,1,5.031048547,5.031048547,5.964199497
1,96,86.99508865,96,0.841252802,0.654733166,2,1,5.031048547,5.031048547,5.964199497
1,56,50.33558205,81,0.669989941,-0.009951771,2,1,5.031048547,5.031048547,5.964199497
1,46,36.0791044,95,0.499652791,-0.272863398,2,1,5.031048547,5.031048547,5.964199497
1,16,31.35780645,56,0.498727144,-0.280269331,2,1,5.031048547,5.031048547,5.964199497
1,50,49.59498875,78,0.666286912,-0.017357831,2,1,5.031048547,5.031048547,5.964199497
