subject,singleFace,subjectFaceResponse
16,13,9.358072917
16,9,9.166666667
16,23,17.20572917
16,34,33.60286458
16,10,9.23046875
16,4,9.421875
16,37,41.64192708
16,5,9.294270833
16,43,49.48958333
16,46,49.68098958
16,3,9.23046875
16,22,17.58854167
16,30,33.5390625
16,26,25.62760417
16,14,17.33333333
16,20,17.52473958
16,2,9.549479167
16,24,17.65234375
16,1,9.0390625
16,25,17.26953125
16,8,9.166666667
16,32,41.51432292
16,7,9.23046875
16,36,25.75520833
16,50,49.68098958
16,15,17.01432292
16,28,24.67057292
16,49,49.68098958
16,47,49.55338542
16,33,33.79427083
16,27,25.5
16,12,9.421875
16,38,33.66666667
16,42,49.68098958
16,31,25.24479167
16,41,41.89713542
16,39,49.48958333
17,19,22.00648287
17,48,42.0148162
17,45,42.0148162
17,11,9.030555553
17,17,9.030555553
17,16,9.030555553
17,29,33.80277778
17,35,33.80277778
17,40,33.80277778
17,21,17.06111111
17,6,11.52592731
17,18,17.60555555
17,44,38.06759397
17,13,15.92685255
17,9,13.93055555
17,23,28.17685462
17,34,39.15648287
17,10,19.14814953
17,4,19.14814953
17,37,37.38703842
17,5,18.55833333
17,43,41.47037175
17,46,41.47037175
17,3,16.78888889
17,22,30.3546324
17,30,35.16388889
17,26,35.16388889
17,14,19.78333333
17,20,32.85
17,2,17.56018796
17,24,32.39629907
17,1,17.83241018
17,25,33.4398162
17,8,18.01388889
17,32,38.02222222
17,7,17.92314953
17,36,37.7046324
17,50,37.7046324
17,15,9.937963654
17,28,33.53055555
17,49,41.56111111
17,47,41.56111111
17,33,33.80277778
17,27,33.80277778
17,12,17.78703842
17,38,33.25833333
17,42,33.25833333
17,31,29.40185462
17,41,39.33796574
17,39,39.33796574
18,19,4.04484165
18,48,49.13094833
18,45,49.14876556
18,11,17.15119957
18,17,17.34039642
18,16,17.34039642
18,29,25.65076981
18,35,27.33285691
18,40,33.88471527
18,21,17.56474362
18,6,8.332949143
18,18,25.09934784
18,44,49.85646775
18,13,4.543899806
18,9,4.334730533
18,23,17.75264138
18,34,31.18065338
18,10,9.057178805
18,4,1.975181201
18,37,35.97535004
18,5,7.993937645
18,43,46.91247887
18,46,49.72038986
18,3,4.795064431
18,22,25.3948761
18,30,33.95347946
18,26,25.55299935
18,14,17.76369209
18,20,16.15199913
18,2,11.74870956
18,24,33.93157616
18,1,7.095034826
18,25,20.00798271
18,8,20.91644089
18,32,34.06308945
18,7,4.292686573
18,36,39.27005348
18,50,49.91370269
18,15,19.40637268
18,28,27.24573341
18,49,49.63819733
18,47,49.63819733
18,33,40.16844788
18,27,27.3150621
18,12,1.813623293
18,38,34.10268662
18,42,40.26011727
18,31,31.61635681
18,41,37.1522181
18,39,38.79900719
19,19,9.05324074
19,48,41.71990741
19,45,41.83333333
19,11,1.056712959
19,17,1.113425927
19,16,1.113425927
19,29,33.55324074
19,35,33.55324074
19,40,33.55324074
19,21,9.280092594
19,6,1.113425927
19,18,9.05324074
19,44,49.77314815
19,13,9.166666667
19,9,9.166666667
19,23,9.05324074
19,34,49.88657407
19,10,1
19,4,1
19,37,49.82986111
19,5,1.226851854
19,43,49.88657407
19,46,49.88657407
19,3,1.113425927
19,22,9.109953707
19,30,41.66319445
19,26,41.66319445
19,14,9.05324074
19,20,9.05324074
19,2,1.226851854
19,24,17.56018519
19,1,1.113425927
19,25,17.27662037
19,8,9.05324074
19,32,41.77662037
19,7,9.109953707
19,36,41.94675926
19,50,49.71643519
19,15,9.280092594
19,28,41.83333333
19,49,49.88657407
19,47,49.88657407
19,33,49.88657407
19,27,41.94675926
19,12,9.109953707
19,38,49.65972222
19,42,49.65972222
19,31,41.83333333
19,41,41.83333333
19,39,41.83333333
20,19,20.25403321
20,48,41.86499512
20,45,41.84896485
20,11,19.2111084
20,17,20.28226563
20,16,19.87720215
20,29,31.67979004
20,35,31.73912597
20,40,31.73912597
20,21,21.00482422
20,6,16.82762207
20,18,16.10769531
20,44,39.61190429
20,13,16.34886719
20,9,16.27541504
20,23,28.62351074
20,34,34.22022949
20,10,21.38452637
20,4,21.30413574
20,37,39.20564454
20,5,21.50367676
20,43,39.95093262
20,46,40.34810059
20,3,19.64942871
20,22,26.05388184
20,30,26.46229492
20,26,26.44219727
20,14,18.53185546
20,20,24.59058105
20,2,18.32178711
20,24,26.07924316
20,1,22.28533204
20,25,26.37018066
20,8,22.49492188
20,32,27.45856446
20,7,21.8204541
20,36,30.67442871
20,50,33.31870605
20,15,21.91759278
20,28,20.92275879
20,49,35.00068847
20,47,36.91833985
20,33,36.71114258
20,27,25.96320313
20,12,21.70154297
20,38,35.28420898
20,42,35.07701172
20,31,35.94049316
20,41,35.79669921
20,39,35.75339355
21,19,8.690277781
21,48,41.32291667
21,45,40.43819445
21,11,4.198611114
21,17,9.609027781
21,16,11.14027778
21,29,26.89513889
21,35,28.25625
21,40,28.59652778
21,21,17.70763889
21,6,14.475
21,18,16.00625
21,44,34.48333333
21,13,19.30694445
21,9,19.17083333
21,23,25.5
21,34,29.34513889
21,10,21.79097222
21,4,19.9875
21,37,34.61944445
21,5,20.15763889
21,43,35.94652778
21,46,42.61597222
21,3,12.12708333
21,22,18.89861111
21,30,37.92013889
21,26,27.77986111
21,14,18.28611111
21,20,20.77013889
21,2,11.24236111
21,24,19.9875
21,1,14.71319445
21,25,25.15972222
21,8,19.95347222
21,32,28.49444445
21,7,17.84375
21,36,36.45694445
21,50,46.86944445
21,15,12.53541667
21,28,26.55486111
21,49,42.07152778
21,47,49.31944445
21,33,43.97708333
21,27,32.54375
21,12,18.86458333
21,38,32.64583333
21,42,38.3625
21,31,37.00138889
21,41,37.57986111
21,39,39.92777778
22,19,17.43541667
22,48,41.90138889
22,45,40.26805555
22,11,12.80763889
22,17,24.92152778
22,16,25.53402778
22,29,30.43402778
22,35,33.66666667
22,40,39.14513889
22,21,21.72291667
22,6,16.10833333
22,18,23.18611111
22,44,42.41180555
22,13,18.28611111
22,9,19.74930555
22,23,27.95
22,34,34.34722222
22,10,20.15763889
22,4,10.15347222
22,37,40.60833333
22,5,14.74722222
22,43,43.84097222
22,46,46.35902778
22,3,13.72638889
22,22,24.54722222
22,30,30.09375
22,26,25.29583333
22,14,21.11041667
22,20,22.94791667
22,2,7.975694447
22,24,28.35833333
22,1,14.20277778
22,25,31.35277778
22,8,19.17083333
22,32,36.69513889
22,7,17.87777778
22,36,38.49861111
22,50,47.95833333
22,15,17.97986111
22,28,33.80277778
22,49,49.04722222
22,47,49.48958333
22,33,27.43958333
22,27,24.68333333
22,12,17.74166667
22,38,39.92777778
22,42,42.17361111
22,31,33.4625
22,41,42.82013889
22,39,41.52708333
23,19,17.1972243
23,48,41.87870648
23,45,41.74259397
23,11,9.212038078
23,17,17.33333333
23,16,16.97037245
23,29,33.34907546
23,35,33.62129699
23,40,33.62129699
23,21,25.36389097
23,6,9.166666667
23,18,17.0611118
23,44,41.65185462
23,13,17.24259397
23,9,17.24259397
23,23,25.45463032
23,34,33.48518449
23,10,17.33333333
23,4,17.37870301
23,37,41.69722084
23,5,9.075925584
23,43,41.96944583
23,46,41.96944583
23,3,8.985186224
23,22,17.33333333
23,30,33.39444513
23,26,25.27314815
23,14,17.10648148
23,20,17.10648148
23,2,1.907407407
23,24,28.58518657
23,1,9.892593631
23,25,33.9388882
23,8,17.24259397
23,32,33.84814884
23,7,17.10648148
23,36,41.01666528
23,50,49.68240879
23,15,17.42407615
23,28,32.89537175
23,49,42.19629768
23,47,49.36481758
23,33,33.80277916
23,27,25.5
23,12,17.28796365
23,38,33.62129699
23,42,41.51574213
23,31,25.59074281
23,41,33.57592731
23,39,33.57592731
24,19,9.030555904
24,48,47.36851713
